zip,market,tier,state,lat,lng
43761,"Out of Coverage",ooc,OH,39.6626,-82.1363
65038,"Non-compliant",nc,MO,38.1992,-92.8335
89721,"Out of Coverage",ooc,NV,39.1678,-119.7764
56215,"Non-compliant",nc,MN,45.3129,-95.5766
17222,"Non-compliant",nc,PA,39.9065,-77.5310
38846,"Non-compliant",nc,MS,34.8780,-88.4359
07432,"Out of Coverage",ooc,NJ,40.9957,-74.1409
31404,"Out of Coverage",ooc,GA,32.0543,-81.0492
23310,"Non-compliant",nc,VA,37.2799,-75.9721
83252,"Non-compliant",nc,ID,42.1808,-112.2620
79538,"Out of Coverage",ooc,TX,31.9781,-99.6809
36474,"Non-compliant",nc,AL,31.4399,-86.6121
01436,"Non-compliant",nc,MA,42.5936,-72.0646
24184,"Non-compliant",nc,VA,37.0818,-79.7573
26807,"Non-compliant",nc,WV,38.6400,-79.3538
28538,"Out of Coverage",ooc,NC,35.4380,-77.5656
57477,"Non-compliant",nc,SD,45.0379,-98.0996
55036,"Non-compliant",nc,MN,45.8712,-93.1196
27703,"Out of Coverage",ooc,NC,35.9781,-78.8439
43414,"Out of Coverage",ooc,OH,41.4581,-83.6102
52001,"Non-compliant",nc,IA,42.5150,-90.6819
76665,"Out of Coverage",ooc,TX,31.9290,-97.6443
26416,"Non-compliant",nc,WV,39.1613,-80.0492
37691,"Out of Coverage",ooc,TN,36.3683,-81.7572
78521,"Out of Coverage",ooc,TX,25.9221,-97.4612
34797,"Out of Coverage",ooc,FL,28.7444,-81.8263
46056,"Non-compliant",nc,IN,39.9944,-85.6227
37818,"Out of Coverage",ooc,TN,36.1839,-82.9674
99548,"Non-compliant",nc,AK,56.2448,-158.7578
44077,"Out of Coverage",ooc,OH,41.7079,-81.1990
58231,"Non-compliant",nc,ND,48.2212,-97.8022
17271,"Non-compliant",nc,PA,40.1137,-77.7969
35401,"Non-compliant",nc,AL,33.1969,-87.5627
40828,"Out of Coverage",ooc,KY,36.8398,-83.2233
88590,"Out of Coverage",ooc,TX,31.6948,-106.3000
88532,"Out of Coverage",ooc,TX,31.6948,-106.3000
25672,"Non-compliant",nc,WV,37.7431,-82.1080
64631,"Non-compliant",nc,MO,39.8006,-92.8928
33139,"Out of Coverage",ooc,FL,25.7873,-80.1564
58076,"Non-compliant",nc,ND,46.2718,-96.6081
76632,"Out of Coverage",ooc,TX,31.3100,-97.0900
68838,"Non-compliant",nc,NE,41.2204,-98.6481
